clients
companyName,email,phone,address,country,trnNumber
"Advertiqa for Communications, Advertising and Marketing WLL",marketing@advertiqa.com,97466460316,"PO Box: 45684
Doha, Qatar,",Qatar,
Al Marjaan Hotel Supplies,almarjansupply@gmail.com,+971 55 150 8695,", ",United Arab Emirates,
Bin Omran Trading and Telecommunication,martin@binomran.com,+974 5541 7326,", ",Qatar,
Bin Omran Trading and Telecommunications ,binomran@gmail.com,974,"Bin Omran Trading and Telecommunications , Doha",Qatar,
Boomax Trading Spare Parts,info@boomaxparts.com,97466191957,"GWC logistics park C, Doha",Qatar,
Broad Way Gifts Trading,brightway@gmail.com,971503030919,"0027, Rashideya 1, City Centre sector
, Ajman",United Arab Emirates,
City University ,michael.stellwag@cuc-ulster.edu.qa,974 40 198 191,"Building 39, Street 255, Zone 69, Erkiyah, Lusail, Qatar
PO Box 200197, Doha",Qatar,
EGEC Qatar for Engineering Consultations,egec@demo.com,97466006314,"IBA Building), Office, 223, C Ring Road, 102 1st Floor, Doha",Qatar,
Empower Sport Services LLC,hello@empowersportservices.com,,", ",United Arab Emirates,
Fortune Gifts trading WLL,sales@fortunegiftz.com,+974 7001 3984,"Fortune Gifts Trading W.L.L.
1st Floor, Room #5
Bdg no. 18, Zone 17
Street 850
Old Salata - Doha
Qatar, Doha",Qatar,
Fortune gifts trading,sales@fortunegiftz.com,+974 7001 3984,"Fortune Gifts Trading W.L.L.
1st Floor, Room #5
Bdg no. 18, Zone 17
Street 850
Old Salata - Doha
Qatar, Doha",Qatar,
GEM ADVERTISING & PUBLICATIONS,ajsar@gemadvertising.com,+974 66756511,"Doha- Qatar, Doha",Qatar,
IDEAL SWEET & PASTRY LLC,id@id.com,971 6 748 1524,"New Industrial Area P.O Box No. 30534,,",United Arab Emirates,
Infinite Trading Company,mail@inifintesaudi.com,97470019384,"Building 2983, Salahuddin Al Ayyubi
8352, Al Malaz Dist, Riyadh",Saudi Arabia,
Inkpression WLL,sales@inkpression.com,97433927825,"Building Number 5, Eshgab Street, Al Rayyan, Qatar,",United Arab Emirates,
Mohammed Aslam,fayas47@gmail.com,97470013984,"Flat #3, Zone 27
Street 810, Bld No 58
Postal Code 11745
Mob: +97470013984, Doha",Qatar,
Momentum media ,ceo@momentummedia.in,+974 7400 0620,"Momentum media
Doha, Doha",Qatar,
Premier teknomedia,Accounts@premiertekno.qa,+974 7448 1328,"Premier teknomedia
Al saad doha, ",Qatar,
PrintZone,chandra@printzoneqa.com,+974 7750 2471,"P.O Box 7831, Building No241
C Ring Road, Opposite KPMG,, Doha",Qatar,
Printzone digital printing ,email@gmail.com,+974 7750 2471,", Doha",Qatar,
Soni Max Trading WLL,reegan@sonimaxqat.com,+974 6656 8136,"Kiosk/17, Commercial Souq Al Haraj,
Barwavillage, Doha",Qatar,
Speedline Media Advertising,mail@speedline.com,97470013984,"Aqar Business Building
6th Floor, Office 601
Al Jazeera St. , Doha",Qatar,
Speedline printing press,prasad@speedlinemedia.qa,97431110407,"Aqar Business Building
6th Floor, Office 601
Al Jazeera St. Doha, Doha",United Arab Emirates,
Spot Media and advertising,,+974 7022 3352,", Doha",Qatar,
Spot media and advertising,,+974 7022 3352,", Doha",Qatar,
The Muse,Hussein.helmy@the-muse.co,97451071423,"Level 4, Al Jazeera Tower, West Bay,

, Doha",Qatar,
UTC Advertising & Events,ravi@utcae-qatar.com,97470525242,"P.O Box No: 19229
Doha, State of Qatar.,",Qatar,
Unicorn Gulf Logistics and Shipping W.L.L,info@unicorngulf.com,97430210933,"Al Muntazah Trading Centre,
Doha - Qatar, Doha",United Arab Emirates,
Viola Communications,viola@gmail.com,+971 2 644 9444,"twofour54, 4th floor Office 405-408 - Al Muntazah - Zone 1,",United Arab Emirates,
Zainconcepts Events And Exhibitions,accounts@zainconcepts.com,97450936901,", Doha",Qatar,
